18:25:16.001996 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:21.003348 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:26.000673 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:31.003634 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:35.926906 ARP, Request who-has 192.168.20.135 (Broadcast) tell 192.168.20.136, length 46
18:25:35.927361 ARP, Reply 192.168.20.135 is-at 00:0c:29:6f:d4:68 (oui Unknown), length 46
18:25:36.000568 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:36.128525 IP 192.168.20.136.38878 > 192.168.20.2.domain: 32008+ PTR? 135.20.168.192.in-addr.arpa. (45)
18:25:36.142079 IP 192.168.20.2.domain > 192.168.20.136.38878: 32008 NXDomain 0/0/0 (45)
18:25:36.143989 IP 192.168.20.136.57385 > 192.168.20.135.ssh: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:40.575568 IP 192.168.20.135.10024 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:40.656126 IP 192.168.20.136.57385 > 192.168.20.135.2001: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:40.656575 IP 192.168.20.135.2001 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:40.736828 IP 192.168.20.136.57386 > 192.168.20.135.10024: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:40.737356 IP 192.168.20.135.10024 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:40.817756 IP 192.168.20.136.57385 > 192.168.20.135.1186: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:40.818257 IP 192.168.20.135.1186 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:40.898259 IP 192.168.20.136.57385 > 192.168.20.135.daap: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:40.898722 IP 192.168.20.135.daap > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:40.979355 IP 192.168.20.136.57385 > 192.168.20.135.ms-sql-s: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:40.979816 IP 192.168.20.135.ms-sql-s > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.001093 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:41.059964 IP 192.168.20.136.57385 > 192.168.20.135.isisd: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.060434 IP 192.168.20.135.isisd > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.139961 ARP, Request who-has 192.168.20.2 tell 192.168.20.136, length 46
18:25:41.140453 IP 192.168.20.136.57385 > 192.168.20.135.11967: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.140602 ARP, Reply 192.168.20.2 is-at 00:50:56:fa:f0:65 (oui Unknown), length 46
18:25:41.140875 IP 192.168.20.135.11967 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.221344 IP 192.168.20.136.57385 > 192.168.20.135.10243: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.221817 IP 192.168.20.135.10243 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.301580 IP 192.168.20.136.57386 > 192.168.20.135.11967: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:41.302031 IP 192.168.20.135.11967 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:41.381949 IP 192.168.20.136.57385 > 192.168.20.135.5922: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.382480 IP 192.168.20.135.5922 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.462607 IP 192.168.20.136.57385 > 192.168.20.135.14238: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.463154 IP 192.168.20.135.14238 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.543450 IP 192.168.20.136.57385 > 192.168.20.135.30951: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.543987 IP 192.168.20.135.30951 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.624236 IP 192.168.20.136.57385 > 192.168.20.135.212: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.624786 IP 192.168.20.135.212 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.705304 IP 192.168.20.136.57386 > 192.168.20.135.30951: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:41.705814 IP 192.168.20.135.30951 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:41.785568 IP 192.168.20.136.57385 > 192.168.20.135.ospfapi: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.786047 IP 192.168.20.135.ospfapi > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.866795 IP 192.168.20.136.57385 > 192.168.20.135.2710: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.867277 IP 192.168.20.135.2710 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:41.947335 IP 192.168.20.136.57385 > 192.168.20.135.4443: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:41.947863 IP 192.168.20.135.4443 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.027688 IP 192.168.20.136.57385 > 192.168.20.135.1081: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.028141 IP 192.168.20.135.1081 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.108627 IP 192.168.20.136.57386 > 192.168.20.135.4443: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:42.109120 IP 192.168.20.135.4443 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:42.189147 IP 192.168.20.136.57385 > 192.168.20.135.4444: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.189634 IP 192.168.20.135.4444 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.269529 IP 192.168.20.136.57385 > 192.168.20.135.3007: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.270067 IP 192.168.20.135.3007 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.349783 IP 192.168.20.136.57385 > 192.168.20.135.843: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.350334 IP 192.168.20.135.843 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.430896 IP 192.168.20.136.57385 > 192.168.20.135.snmp: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.431361 IP 192.168.20.135.snmp > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.511975 IP 192.168.20.136.57386 > 192.168.20.135.843: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:42.512533 IP 192.168.20.135.843 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:42.593047 IP 192.168.20.136.57385 > 192.168.20.135.8443: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.593569 IP 192.168.20.135.8443 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.673859 IP 192.168.20.136.57385 > 192.168.20.135.254: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.674394 IP 192.168.20.135.254 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.755177 IP 192.168.20.136.57385 > 192.168.20.135.8873: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.755696 IP 192.168.20.135.8873 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.836143 IP 192.168.20.136.57385 > 192.168.20.135.17877: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.836677 IP 192.168.20.135.17877 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:42.916962 IP 192.168.20.136.57386 > 192.168.20.135.8873: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:42.917540 IP 192.168.20.135.8873 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:42.997683 IP 192.168.20.136.57385 > 192.168.20.135.2968: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:42.998159 IP 192.168.20.135.2968 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.078579 IP 192.168.20.136.57385 > 192.168.20.135.898: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.079120 IP 192.168.20.135.898 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.158997 IP 192.168.20.136.57385 > 192.168.20.135.2100: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.159464 IP 192.168.20.135.2100 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.240215 IP 192.168.20.136.57385 > 192.168.20.135.49176: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.240609 IP 192.168.20.135.49176 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.321002 IP 192.168.20.136.57386 > 192.168.20.135.2100: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:43.321496 IP 192.168.20.135.2100 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:43.401262 IP 192.168.20.136.57385 > 192.168.20.135.cisco-sccp: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.401862 IP 192.168.20.135.cisco-sccp > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.482446 IP 192.168.20.136.57385 > 192.168.20.135.5959: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.482941 IP 192.168.20.135.5959 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.563360 IP 192.168.20.136.57385 > 192.168.20.135.4998: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.563900 IP 192.168.20.135.4998 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.644452 IP 192.168.20.136.57385 > 192.168.20.135.10009: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.644892 IP 192.168.20.135.10009 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.725006 IP 192.168.20.136.57386 > 192.168.20.135.4998: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:43.725452 IP 192.168.20.135.4998 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:43.806171 IP 192.168.20.136.57385 > 192.168.20.135.16018: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.806690 IP 192.168.20.135.16018 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.886801 IP 192.168.20.136.57385 > 192.168.20.135.gsigatekeeper: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.887334 IP 192.168.20.135.gsigatekeeper > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:43.916078 IP 192.168.20.135.netbios-ns > 192.168.20.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
18:25:43.967811 IP 192.168.20.136.57385 > 192.168.20.135.3168: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:43.968299 IP 192.168.20.135.3168 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.049050 IP 192.168.20.136.57385 > 192.168.20.135.1247: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.049591 IP 192.168.20.135.1247 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.130027 IP 192.168.20.136.57386 > 192.168.20.135.3168: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:44.130560 IP 192.168.20.135.3168 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:44.211227 IP 192.168.20.136.57385 > 192.168.20.135.6156: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.211739 IP 192.168.20.135.6156 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.292277 IP 192.168.20.136.57385 > 192.168.20.135.27352: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.292724 IP 192.168.20.135.27352 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.374549 IP 192.168.20.136.57385 > 192.168.20.135.700: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.374946 IP 192.168.20.135.700 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.454854 IP 192.168.20.136.57385 > 192.168.20.135.5100: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.455391 IP 192.168.20.135.5100 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.535792 IP 192.168.20.136.57386 > 192.168.20.135.700: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:44.536330 IP 192.168.20.135.700 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:44.616480 IP 192.168.20.136.57385 > 192.168.20.135.12345: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.617018 IP 192.168.20.135.12345 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.697631 IP 192.168.20.136.57385 > 192.168.20.135.20221: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.698108 IP 192.168.20.135.20221 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.778233 IP 192.168.20.136.57385 > 192.168.20.135.1086: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.778758 IP 192.168.20.135.1086 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.859294 IP 192.168.20.136.57385 > 192.168.20.135.646: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.859819 IP 192.168.20.135.646 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:44.940440 IP 192.168.20.136.57385 > 192.168.20.135.1187: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:44.940969 IP 192.168.20.135.1187 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.021508 IP 192.168.20.136.57385 > 192.168.20.135.146: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.022114 IP 192.168.20.135.146 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.102115 IP 192.168.20.136.57386 > 192.168.20.135.1187: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:45.102854 IP 192.168.20.135.1187 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:45.183193 IP 192.168.20.136.57385 > 192.168.20.135.bgp: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.183683 IP 192.168.20.135.bgp > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.264305 IP 192.168.20.136.57385 > 192.168.20.135.1117: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.264791 IP 192.168.20.135.1117 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.345569 IP 192.168.20.136.57385 > 192.168.20.135.git: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.346058 IP 192.168.20.135.git > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.415080 IP 192.168.20.135.netbios-ns > 192.168.20.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
18:25:45.426269 IP 192.168.20.136.57385 > 192.168.20.135.5998: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.426810 IP 192.168.20.135.5998 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.507227 IP 192.168.20.136.57386 > 192.168.20.135.git: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:45.507701 IP 192.168.20.135.git > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:45.587783 IP 192.168.20.136.57385 > 192.168.20.135.49158: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.588273 IP 192.168.20.135.49158 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.668494 IP 192.168.20.136.57385 > 192.168.20.135.7019: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.668958 IP 192.168.20.135.7019 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.749095 IP 192.168.20.136.57385 > 192.168.20.135.7676: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.749602 IP 192.168.20.135.7676 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.829847 IP 192.168.20.136.57385 > 192.168.20.135.4004: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.830295 IP 192.168.20.135.4004 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:45.910917 IP 192.168.20.136.57386 > 192.168.20.135.7676: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:45.911434 IP 192.168.20.135.7676 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:45.991213 IP 192.168.20.136.57385 > 192.168.20.135.19842: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:45.991748 IP 192.168.20.135.19842 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.002461 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:46.071461 IP 192.168.20.136.57385 > 192.168.20.135.2301: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.072079 IP 192.168.20.135.2301 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.152150 IP 192.168.20.136.57385 > 192.168.20.135.rsync: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.152620 IP 192.168.20.135.rsync > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.232336 IP 192.168.20.136.57385 > 192.168.20.135.6839: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.232844 IP 192.168.20.135.6839 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.313450 IP 192.168.20.136.57386 > 192.168.20.135.rsync: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:46.313841 IP 192.168.20.135.rsync > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:46.394338 IP 192.168.20.136.57385 > 192.168.20.135.50002: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.394873 IP 192.168.20.135.50002 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.475212 IP 192.168.20.136.57385 > 192.168.20.135.4446: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.475746 IP 192.168.20.135.4446 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.556131 IP 192.168.20.136.57385 > 192.168.20.135.259: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.556664 IP 192.168.20.135.259 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.636831 IP 192.168.20.136.57385 > 192.168.20.135.eklogin: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.637360 IP 192.168.20.135.eklogin > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.717343 IP 192.168.20.136.57386 > 192.168.20.135.259: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:46.717837 IP 192.168.20.135.259 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:46.797765 IP 192.168.20.136.57385 > 192.168.20.135.7777: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.798318 IP 192.168.20.135.7777 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.878736 IP 192.168.20.136.57385 > 192.168.20.135.9503: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.879203 IP 192.168.20.135.9503 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:46.915117 IP 192.168.20.135.netbios-ns > 192.168.20.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
18:25:46.959460 IP 192.168.20.136.57385 > 192.168.20.135.ripd: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:46.960056 IP 192.168.20.135.ripd > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.040205 IP 192.168.20.136.57385 > 192.168.20.135.27000: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.040728 IP 192.168.20.135.27000 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.120576 IP 192.168.20.136.57386 > 192.168.20.135.ripd: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:47.121115 IP 192.168.20.135.ripd > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:47.201824 IP 192.168.20.136.57385 > 192.168.20.135.4449: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.202369 IP 192.168.20.135.4449 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.282603 IP 192.168.20.136.57385 > 192.168.20.135.9290: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.283132 IP 192.168.20.135.9290 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.363144 IP 192.168.20.136.57385 > 192.168.20.135.6101: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.363683 IP 192.168.20.135.6101 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.443688 IP 192.168.20.136.57385 > 192.168.20.135.49161: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.444191 IP 192.168.20.135.49161 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.524916 IP 192.168.20.136.57386 > 192.168.20.135.6101: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:47.525438 IP 192.168.20.135.6101 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:47.606119 IP 192.168.20.136.57385 > 192.168.20.135.5200: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.606637 IP 192.168.20.135.5200 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.686480 IP 192.168.20.136.57385 > 192.168.20.135.2910: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.686949 IP 192.168.20.135.2910 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.767211 IP 192.168.20.136.57385 > 192.168.20.135.19101: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.767687 IP 192.168.20.135.19101 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.848276 IP 192.168.20.136.57385 > 192.168.20.135.3998: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:47.848714 IP 192.168.20.135.3998 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:47.928694 IP 192.168.20.136.57386 > 192.168.20.135.19101: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:47.929244 IP 192.168.20.135.19101 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:48.009270 IP 192.168.20.136.57385 > 192.168.20.135.1022: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.009743 IP 192.168.20.135.1022 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.090130 IP 192.168.20.136.57385 > 192.168.20.135.1935: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.090651 IP 192.168.20.135.1935 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.171072 IP 192.168.20.136.57385 > 192.168.20.135.1122: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.171595 IP 192.168.20.135.1122 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.251619 IP 192.168.20.136.57385 > 192.168.20.135.1049: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.252031 IP 192.168.20.135.1049 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.332210 IP 192.168.20.136.57386 > 192.168.20.135.1122: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:48.332685 IP 192.168.20.135.1122 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:48.412875 IP 192.168.20.136.57385 > 192.168.20.135.3971: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.413368 IP 192.168.20.135.3971 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.493155 IP 192.168.20.136.57385 > 192.168.20.135.8180: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.493600 IP 192.168.20.135.8180 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.574187 IP 192.168.20.136.57385 > 192.168.20.135.5550: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.574635 IP 192.168.20.135.5550 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.654647 IP 192.168.20.136.57385 > 192.168.20.135.1091: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:48.655136 IP 192.168.20.135.1091 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:48.735023 IP 192.168.20.136.57386 > 192.168.20.135.5550: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
